Date,Price,Open,High,Low,Vol.,Change %
"Oct 07, 2020","3419,45","3384,56","3426,26","3384,56",-,1.74%
"Oct 06, 2020","3360,95","3408,74","3431,56","3354,54",-,-1.40%
"Oct 05, 2020","3408,63","3367,27","3409,57","3367,27",-,1.80%
"Oct 02, 2020","3348,44","3338,94","3369,1","3323,69",-,-0.96%
"Oct 01, 2020","3380,8","3385,87","3397,18","3361,39",-,0.53%
"Sep 30, 2020",3363,"3341,21","3393,56","3340,47",-,0.83%
"Sep 29, 2020","3335,47","3350,92","3357,92","3327,54",-,-0.48%
"Sep 28, 2020","3351,6","3333,9","3360,74","3332,91",-,1.61%
"Sep 25, 2020","3298,46","3236,66","3306,88","3228,44",-,1.60%
"Sep 24, 2020","3246,59","3226,14","3278,7","3209,45",-,0.30%
"Sep 23, 2020","3236,92","3320,11","3323,35","3232,57",-,-2.37%
"Sep 22, 2020","3315,57","3295,75","3320,31","3270,95",-,1.05%
"Sep 21, 2020","3281,06","3285,57","3285,57","3229,1",-,-1.16%
"Sep 18, 2020","3319,47","3357,38","3362,27","3292,4",-,-1.12%
"Sep 17, 2020","3357,01","3346,86","3375,17","3328,82",-,-0.84%
"Sep 16, 2020","3385,49","3411,23","3428,92","3384,45",-,-0.46%
"Sep 15, 2020","3401,2","3407,73","3419,48","3389,25",-,0.52%
"Sep 14, 2020","3383,54","3363,56","3402,93","3363,56",-,1.27%
"Sep 11, 2020","3340,97","3352,7","3368,95","3310,47",-,0.05%
"Sep 10, 2020","3339,19","3412,56","3425,55","3329,25",-,-1.76%
"Sep 09, 2020","3398,96","3369,82","3424,77","3366,84",-,2.01%
"Sep 08, 2020","3331,84","3371,88","3379,97","3329,27",-,-2.78%
"Sep 04, 2020","3426,96","3453,6","3479,15","3349,63",-,-0.81%
"Sep 03, 2020","3455,06","3564,74","3564,85","3427,41",-,-3.51%
"Sep 02, 2020","3580,84","3543,76","3588,11","3535,23",-,1.54%
"Sep 01, 2020","3526,65","3507,44","3528,03","3494,6",-,0.75%
"Aug 31, 2020","3500,31","3509,73","3514,77","3493,25",-,-0.22%
"Aug 28, 2020","3508,01","3494,69","3509,23","3484,32",-,0.67%
"Aug 27, 2020","3484,55","3485,14","3501,38","3468,35",-,0.17%
"Aug 26, 2020","3478,73","3449,97","3481,07","3444,15",-,1.02%
"Aug 25, 2020","3443,62","3435,95","3444,21","3425,84",-,0.36%
"Aug 24, 2020","3431,28","3418,09","3432,09","3413,13",-,1.00%
"Aug 21, 2020","3397,16","3386,01","3399,96","3379,31",-,0.34%
"Aug 20, 2020","3385,51","3360,48","3390,8","3354,69",-,0.32%
"Aug 19, 2020","3374,85","3392,51","3399,54","3369,66",-,-0.44%
"Aug 18, 2020","3389,78","3387,04","3395,06","3370,15",-,0.23%
"Aug 17, 2020","3381,99","3380,86","3387,59","3379,22",-,0.27%
"Aug 14, 2020","3372,85","3368,66","3378,51","3361,64",-,-0.02%
"Aug 13, 2020","3373,43","3372,95","3387,24","3363,35",-,-0.20%
"Aug 12, 2020","3380,35","3355,46","3387,89","3355,46",-,1.40%
"Aug 11, 2020","3333,69","3370,34","3381,01","3326,44",-,-0.80%
"Aug 10, 2020","3360,47","3356,04","3363,29","3335,44",-,0.27%
"Aug 07, 2020","3351,28","3340,05","3352,54","3328,72",-,0.06%
"Aug 06, 2020","3349,16","3323,17","3351,03","3318,14",-,0.64%
"Aug 05, 2020","3327,77","3317,37","3330,77","3317,37",-,0.64%
"Aug 04, 2020","3306,51","3289,92","3306,84","3286,37",-,0.36%
"Aug 03, 2020","3294,61","3288,26","3302,73","3284,53",-,0.72%
"Jul 31, 2020","3271,12","3270,45","3272,17","3220,26",-,0.77%
"Jul 30, 2020","3246,22","3231,76","3250,92","3204,13",-,-0.38%
"Jul 29, 2020","3258,44","3227,22","3264,74","3227,22",-,1.24%
"Jul 28, 2020","3218,44","3234,27","3243,72","3216,17",-,-0.65%
"Jul 27, 2020","3239,41","3219,84","3241,43","3214,25",-,0.74%
"Jul 24, 2020","3215,63","3218,58","3227,26","3200,05",-,-0.62%
"Jul 23, 2020","3235,66","3271,64","3279,99","3222,66",-,-1.23%
"Jul 22, 2020","3276,02","3254,86","3279,32","3253,1",-,0.57%
"Jul 21, 2020","3257,3","3268,52","3277,29","3247,77",-,0.17%
"Jul 20, 2020","3251,84","3224,29","3258,61","3215,16",-,0.84%
"Jul 17, 2020","3224,73","3224,21","3233,52","3205,65",-,0.28%
"Jul 16, 2020","3215,57","3208,36","3220,39","3198,59",-,-0.34%
"Jul 15, 2020","3226,56","3225,98","3238,28","3200,76",-,0.91%
"Jul 14, 2020","3197,52","3141,11","3200,95","3127,66",-,1.34%
"Jul 13, 2020","3155,22","3205,08","3235,32","3149,43",-,-0.94%
