Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Jul 08, 2007","4,92","4,73","4,92","4,6",4.68B,4.24%,"Jul 08, 2007","1552,5","1530,43","1555,1","1506,1",15.33B,1.44%
"Jul 01, 2007","4,72","4,32","4,76","4,26",4.49B,8.26%,"Jul 01, 2007","1530,44","1504,66","1532,4","1504,66",9.27B,1.80%
"Jun 24, 2007","4,36","4,44","4,47","4,24",5.27B,-0.68%,"Jun 24, 2007","1503,35","1502,56","1517,53","1484,18",16.26B,0.05%
"Jun 17, 2007","4,39","4,4","4,47","4,31",4.26B,2.09%,"Jun 17, 2007","1502,56","1532,9","1537,32","1500,74",16.09B,-1.98%
"Jun 10, 2007","4,3","4,5","4,51","4,12",6.82B,-3.37%,"Jun 10, 2007","1532,91","1507,64","1538,71","1492,65",14.88B,1.67%
"Jun 03, 2007","4,45","4,24","4,56","4,21",6.09B,5.20%,"Jun 03, 2007","1507,67","1536,28","1540,53","1487,41",15.17B,-1.87%
"May 27, 2007","4,23","4,09","4,36","4,02",4.32B,4.19%,"May 27, 2007","1536,34","1515,55","1540,56","1510,06",11.81B,1.36%
"May 20, 2007","4,06","3,94","4,11","3,93",3.65B,3.31%,"May 20, 2007","1515,73","1522,75","1532,43","1505,18",15.09B,-0.46%
"May 13, 2007","3,93","3,91","3,95","3,69",4.09B,1.29%,"May 13, 2007","1522,75","1505,76","1522,75","1498,34",14.59B,1.12%
"May 06, 2007","3,88","3,61","3,9","3,61",4.22B,7.78%,"May 06, 2007","1505,85","1505,57","1513,8","1491,42",14.03B,0.02%
"Apr 29, 2007","3,6","3,57","3,63","3,52",2.62B,0.84%,"Apr 29, 2007","1505,62","1494,07","1510,34","1476,7",15.45B,0.77%
"Apr 22, 2007","3,57","3,27","3,66","3,26",5.50B,9.85%,"Apr 22, 2007","1494,07","1484,33","1498,02","1473,74",14.89B,0.65%
"Apr 15, 2007","3,25","3,23","3,3","3,2",2.78B,0.93%,"Apr 15, 2007","1484,35","1452,84","1484,74","1452,84",15.01B,2.17%
"Apr 08, 2007","3,22","3,4","3,4","3,22",2.70B,-4.73%,"Apr 08, 2007","1452,85","1443,77","1453,11","1433,91",13.27B,0.63%
"Apr 01, 2007","3,38","3,36","3,4","3,32",1.92B,1.81%,"Apr 01, 2007","1443,76","1420,83","1444,88","1416,37",10.77B,1.61%
"Mar 25, 2007","3,32","3,36","3,46","3,29",4.07B,-0.60%,"Mar 25, 2007","1420,86","1436,11","1437,65","1408,9",14.19B,-1.06%
"Mar 18, 2007","3,34","3,22","3,37","3,2",2.91B,4.37%,"Mar 18, 2007","1436,11","1386,95","1438,89","1386,95",14.51B,3.54%
"Mar 11, 2007","3,2","3,15","3,24","3,14",3.53B,1.91%,"Mar 11, 2007","1386,95","1402,8","1409,34","1363,98",16.12B,-1.13%
"Mar 04, 2007","3,14","3,07","3,18","3,06",3.15B,2.95%,"Mar 04, 2007","1402,84","1387,11","1410,15","1373,97",15.62B,1.13%
"Feb 25, 2007","3,05","3,21","3,21","2,96",4.96B,-4.09%,"Feb 25, 2007","1387,17","1451,04","1456,95","1380,87",18.00B,-4.41%
"Feb 18, 2007","3,18","3,02","3,24","3,01",3.13B,4.95%,"Feb 18, 2007","1451,19","1455,53","1461,57","1448,36",9.48B,-0.30%
"Feb 11, 2007","3,03","3,02","3,06","2,99",2.59B,2.02%,"Feb 11, 2007","1455,54",1438,"1457,97","1431,44",12.64B,1.22%
"Feb 04, 2007","2,97","3,01","3,09","2,96",4.06B,-1.98%,"Feb 04, 2007","1438,06","1448,33","1452,99","1433,44",13.43B,-0.71%
